season,week,home_team,away_team,home_score,away_score,home_win,div_game,home_rest,away_rest,spread_line,home_moneyline,away_moneyline,home_rolling_win_pct,away_rolling_win_pct,home_rolling_point_diff,away_rolling_point_diff
2022,8,DAL,CHI,49.0,29.0,1,0,7,6,10.5,-430.0,355.0,0.6666666666666666,0.3333333333333333,7.0,2.3333333333333335
2022,8,ATL,CAR,37.0,34.0,1,1,7,7,4.5,-201.0,178.0,0.3333333333333333,0.3333333333333333,-3.3333333333333335,-6.0
2022,8,JAX,DEN,17.0,21.0,0,0,7,7,1.0,-107.0,-103.0,0.0,0.0,-6.666666666666667,-4.333333333333333
2022,8,NO,LV,24.0,0.0,1,0,10,7,-1.0,108.0,-119.0,0.3333333333333333,0.6666666666666666,-1.6666666666666667,8.666666666666666
2022,8,CLE,CIN,32.0,13.0,1,1,8,8,-3.0,147.0,-163.0,0.0,0.6666666666666666,-9.333333333333334,6.666666666666667
2022,9,HOU,PHI,17.0,29.0,0,0,4,4,-14.0,539.0,-702.0,0.3333333333333333,1.0,-6.0,11.333333333333334
2022,9,WAS,MIN,17.0,20.0,0,0,7,7,-3.0,151.0,-169.0,1.0,1.0,2.6666666666666665,7.666666666666667
2022,9,KC,TEN,20.0,17.0,1,0,14,7,14.0,-689.0,530.0,0.6666666666666666,1.0,6.0,6.666666666666667
2022,9,TB,LA,16.0,13.0,1,0,10,7,3.0,-158.0,142.0,0.0,0.3333333333333333,-8.333333333333334,-5.0
2022,9,ARI,SEA,21.0,31.0,0,1,7,7,1.5,-128.0,116.0,0.3333333333333333,1.0,-3.3333333333333335,12.666666666666666
2022,9,NYJ,BUF,20.0,17.0,1,1,7,7,-11.0,400.0,-494.0,0.6666666666666666,1.0,6.333333333333333,16.333333333333332
2022,9,CHI,MIA,32.0,35.0,0,0,7,7,-4.0,172.0,-193.0,0.3333333333333333,0.6666666666666666,-2.0,0.6666666666666666
2022,9,JAX,LV,27.0,20.0,1,0,7,7,-2.5,116.0,-129.0,0.0,0.3333333333333333,-5.666666666666667,-2.3333333333333335
2022,9,DET,GB,15.0,9.0,1,1,7,7,-4.0,170.0,-191.0,0.0,0.0,-17.0,-9.666666666666666
2022,9,CIN,CAR,42.0,21.0,1,0,6,7,7.0,-331.0,282.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333
2022,9,ATL,LAC,17.0,20.0,0,0,7,14,-2.5,130.0,-143.0,0.6666666666666666,0.6666666666666666,-0.3333333333333333,-3.0
2022,9,NE,IND,26.0,3.0,1,0,7,7,5.0,-212.0,188.0,0.6666666666666666,0.3333333333333333,3.0,-1.0
2022,9,NO,BAL,13.0,27.0,0,0,8,11,-1.0,112.0,-124.0,0.3333333333333333,0.6666666666666666,4.0,1.3333333333333333
2022,10,CAR,ATL,25.0,15.0,1,1,4,4,-2.5,119.0,-132.0,0.3333333333333333,0.3333333333333333,-2.0,-6.0
2022,10,TEN,DEN,17.0,10.0,1,0,7,14,2.5,-135.0,122.0,0.6666666666666666,0.3333333333333333,4.333333333333333,-2.0
2022,10,SF,LAC,22.0,16.0,1,0,14,7,8.5,-357.0,302.0,0.3333333333333333,0.6666666666666666,-6.0,-2.6666666666666665
